ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,no_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo
2016_10661,78000.00,94380.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13515,SENAL ECONOMICA S.A.,AM 1050 RADIO CONCEPTO,Capital Federal,DTO 852-14,jul-16
2016_10665,22950.00,27769.50,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11398,RADIO VISION JUJUY S.A.,AM 630 LW8,Jujuy,DA 448-09,jul-16
2016_10666,1566.00,1566.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,16614,CLAUDIO G. JACQUET MATILLON,FM RADIO CITY,Jujuy,DA 448-09,jul-16
2016_10667,1566.00,1566.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,16615,RADIO SPORT SRL.,RADIO FIESTA,Jujuy,DA 448-09,jul-16
2016_10668,18000.00,21780.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,16659,TRAB.EMIS.PAMPEANA COOP.LTDA.,AM 890 LU 33 Emisora Pampeana,La Pampa,DA 448-09,jul-16
2016_10669,10800.00,10800.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11527,PAMPA DIFUSORA S.R.L.,AM 980 LU 37 Radio Gral. Pico,La Pampa,DA 448-09,jul-16
2016_10530,1820.70,2011.87,Ministerio del Interior y Transporte,Legales Julio 2016,Grafica,11184,CUYO TELEVISION S.A.,EL SOL,Mendoza,DA 448-09,jul-16
2016_10456,2840.29,3138.52,Direccion Nacional de Vialidad,Legal Julio,Grafica,11184,CUYO TELEVISION S.A.,EL SOL,Mendoza,DA 448-09,jul-16
2016_10652,1836.00,2221.56,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15500,MEZA CARLOS HECTOR,FM 94.1 RADIO UNO,Formosa,DA 448-09,jul-16
2016_10653,3060.00,3702.60,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15500,MEZA CARLOS HECTOR,FM 99.9 RADIO UNO,Formosa,DA 448-09,jul-16
2016_10648,4750.00,5747.50,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11150,GOMEZ JORGE FELIX,AM 900 LT7 RADIO PROVINCIA,Corrientes,DA 448-09,jul-16
2016_10649,2524.50,2524.50,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,17892,IDEAS DE RADIO S.R.L.,RADIO DOS - CORRIENTES,Corrientes,DA 448-09,jul-16
2016_10650,3549.60,3549.60,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13192,RADIONOTICIAS SUDAMERICANA SA,FM 100.5 RADIO SUDAMERICANA,Corrientes,DA 448-09,jul-16
2016_10651,2065.50,2065.50,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,17367,DIFUSORA IBERA S.R.L.,AM 1000 LT 42 RADIO DEL IBERA,Corrientes,DA 448-09,jul-16
